ProductLine,Version,Build,EditionClass,EndOfServicing,VerifiedOn,Source,Note
Windows 11,25H2,26200,Consumer,2027-10-12,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-home-and-pro,"Home, Pro, Pro Education, Pro for Workstations."
Windows 11,25H2,26200,Enterprise,2028-10-10,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-enterprise-and-education,"Enterprise, Education, IoT Enterprise."
Windows 11,24H2,26100,Consumer,2026-10-13,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-home-and-pro,"Home and Pro end of updates. Converges with the Windows 10 consumer ESU end date."
Windows 11,24H2,26100,Enterprise,2027-10-12,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-enterprise-and-education,"Enterprise and Education."
Windows 11,23H2,22631,Consumer,2025-11-11,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-home-and-pro,"Home and Pro. Already out of support."
Windows 11,23H2,22631,Enterprise,2026-11-10,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-enterprise-and-education,"Enterprise and Education."
Windows 11,22H2,22621,Consumer,2024-10-08,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-home-and-pro,"Out of support."
Windows 11,22H2,22621,Enterprise,2025-10-14,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-enterprise-and-education,"Out of support."
Windows 11,21H2,22000,Consumer,2023-10-10,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-home-and-pro,"Out of support."
Windows 11,21H2,22000,Enterprise,2024-10-08,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-11-enterprise-and-education,"Out of support."
Windows 10,22H2,19045,Consumer,2025-10-14,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-10-home-and-pro,"Mainstream support ended. Consumer ESU runs to 2026-10-13, see the 22H2-ESU row."
Windows 10,22H2-ESU,19045,Consumer,2026-10-13,2026-08-14,https://learn.microsoft.com/windows/whats-new/extended-security-updates,"Consumer Extended Security Updates. Security-only, no feature or non-security fixes, no technical support."
Windows 10,21H2,19044,Enterprise,2024-06-11,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-10-enterprise-and-education,"Out of support."
Windows Server,2012,9200,Server,2026-10-13,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2012,"Final year of Extended Security Updates."
Windows Server,2012 R2,9600,Server,2026-10-13,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2012-r2,"Final year of Extended Security Updates."
Windows Server,2016,14393,Server,2027-01-12,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2016,"Extended support end."
Windows Server,2019,17763,Server,2029-01-09,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2019,"Extended support end."
Windows Server,2022,20348,Server,2031-10-14,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2022,"Extended support end."
Windows Server,2025,26100,Server,2034-10-10,2026-08-14,https://learn.microsoft.com/lifecycle/products/windows-server-2025,"Extended support end. Shares build 26100 with Windows 11 24H2, so match on product line, not build alone."
